Catégorie;CODE;Nom;Description
Professionnal;THEATRE;Place of Entertainment >Theatre;
Professionnal;CABARET;Place of Entertainment > Cabaret;
Professionnal;BROTHEL;Place of Entertainment > Brothel;
Military;CAST_RESID;Castle > Residential Castle;
Military;CAST_FORT;Castle > Fortified Castle;
Military;CAST_MANOR;Castle > Manor;
Professionnal;MILL_WATER;Mill > Watermill;
Professionnal;MILL_WIND;Mill > Windmill;
Military;WATCHTOWER;Tower > Watchtower;
Other;BUILDING;Housing  > Building;
Other;HOUSE;Housing  > House;
Other;REFUGEE_TENT;Housing  > Refugee Tent;
Other;LIGHTHOUSE;Undifferenciated > Lighthouse;
Professionnal;ARMORER;Shop > Armorer;
Professionnal;ALCHEMIST;Shop > Alchemist;
Professionnal;BANK;Shop > Bank;
Professionnal;BUTCHER;Shop > Butcher;
Professionnal;HAWKER;Shop > Hawker;
Professionnal;BLACKSMITH;Shop > Blacksmith;
Professionnal;HERBALIST;Shop > Herbalist;
Professionnal;FISHMONGER;Shop > Fishmonger;
Professionnal;TAILOR;Shop > Tailor;
Professionnal;SHEEPBARN;Breeding > Sheep Barn;
Professionnal;STABLE;Breeding > Stable;
Professionnal;PIGSTY;Breeding > Pigtsy;
Professionnal;FARM;Cultivation > Farm;
Professionnal;BARN;Cultivation > Barn;
Professionnal;COWSHED;Breeding > Cowshed;
Professionnal;CHICK_HOUSE;Breeding > Chicken House;
